
DECIMAL       HEXADECIMAL     DESCRIPTION
2857989       0x2B9C05        Zlib compressed data, best compression
2858021       0x2B9C25        Zlib compressed data, best compression
2858072       0x2B9C58        Zlib compressed data, best compression
2858119       0x2B9C87        Zlib compressed data, best compression
2858205       0x2B9CDD        Zlib compressed data, best compression
2858262       0x2B9D16        Zlib compressed data, best compression
2858384       0x2B9D90        Zlib compressed data, best compression
2858488       0x2B9DF8        Zlib compressed data, best compression
2858557       0x2B9E3D        Zlib compressed data, best compression
2858666       0x2B9EAA        Zlib compressed data, best compression
2858738       0x2B9EF2        Zlib compressed data, best compression
2858795       0x2B9F2B        Zlib compressed data, best compression
2858909       0x2B9F9D        Zlib compressed data, best compression
2859023       0x2BA00F        Zlib compressed data, best compression
2859101       0x2BA05D        Zlib compressed data, best compression
2859184       0x2BA0B0        Zlib compressed data, best compression
2859280       0x2BA110        Zlib compressed data, best compression
2859374       0x2BA16E        Zlib compressed data, best compression
2859431       0x2BA1A7        Zlib compressed data, best compression
2859495       0x2BA1E7        Zlib compressed data, best compression
2859589       0x2BA245        Zlib compressed data, best compression
2859605       0x2BA255        Zlib compressed data, best compression
2859629       0x2BA26D        Zlib compressed data, best compression
2859662       0x2BA28E        Zlib compressed data, best compression
2859700       0x2BA2B4        Zlib compressed data, best compression
2859864       0x2BA358        Zlib compressed data, best compression
2860016       0x2BA3F0        Zlib compressed data, best compression
2860164       0x2BA484        Zlib compressed data, best compression
2860225       0x2BA4C1        Zlib compressed data, best compression
2860294       0x2BA506        Zlib compressed data, best compression
2860337       0x2BA531        Zlib compressed data, best compression
2860465       0x2BA5B1        Zlib compressed data, best compression
2860592       0x2BA630        Zlib compressed data, best compression
2860670       0x2BA67E        Zlib compressed data, best compression
2860796       0x2BA6FC        Zlib compressed data, best compression
2860897       0x2BA761        Zlib compressed data, best compression
2860929       0x2BA781        Zlib compressed data, best compression
2860963       0x2BA7A3        Zlib compressed data, best compression
2861079       0x2BA817        Zlib compressed data, best compression
2861171       0x2BA873        Zlib compressed data, best compression
2861250       0x2BA8C2        Zlib compressed data, best compression
2861322       0x2BA90A        Zlib compressed data, best compression
2861396       0x2BA954        Zlib compressed data, best compression
2861477       0x2BA9A5        Zlib compressed data, best compression
2861552       0x2BA9F0        Zlib compressed data, best compression
2861636       0x2BAA44        Zlib compressed data, best compression
2861715       0x2BAA93        Zlib compressed data, best compression
2861805       0x2BAAED        Zlib compressed data, best compression
2861880       0x2BAB38        Zlib compressed data, best compression
2861963       0x2BAB8B        Zlib compressed data, best compression
2862042       0x2BABDA        Zlib compressed data, best compression
2862165       0x2BAC55        Zlib compressed data, best compression
2862262       0x2BACB6        Zlib compressed data, best compression
2862383       0x2BAD2F        Zlib compressed data, best compression
2862478       0x2BAD8E        Zlib compressed data, best compression
2862605       0x2BAE0D        Zlib compressed data, best compression
2862726       0x2BAE86        Zlib compressed data, best compression
2862826       0x2BAEEA        Zlib compressed data, best compression
2862926       0x2BAF4E        Zlib compressed data, best compression
2863045       0x2BAFC5        Zlib compressed data, best compression
2863164       0x2BB03C        Zlib compressed data, best compression
2863277       0x2BB0AD        Zlib compressed data, best compression
2863370       0x2BB10A        Zlib compressed data, best compression
2863487       0x2BB17F        Zlib compressed data, best compression
2863582       0x2BB1DE        Zlib compressed data, best compression
2863707       0x2BB25B        Zlib compressed data, best compression
2863805       0x2BB2BD        Zlib compressed data, best compression
2863934       0x2BB33E        Zlib compressed data, best compression
2864034       0x2BB3A2        Zlib compressed data, best compression
2864071       0x2BB3C7        Zlib compressed data, best compression
2864217       0x2BB459        Zlib compressed data, best compression
2864348       0x2BB4DC        Zlib compressed data, best compression
2864475       0x2BB55B        Zlib compressed data, best compression
2864587       0x2BB5CB        Zlib compressed data, best compression
2864704       0x2BB640        Zlib compressed data, best compression
2864774       0x2BB686        Zlib compressed data, best compression
2864877       0x2BB6ED        Zlib compressed data, best compression
2864980       0x2BB754        Zlib compressed data, best compression
2865042       0x2BB792        Zlib compressed data, best compression
2865171       0x2BB813        Zlib compressed data, best compression
2865284       0x2BB884        Zlib compressed data, best compression
2865420       0x2BB90C        Zlib compressed data, best compression
2865555       0x2BB993        Zlib compressed data, best compression
2865710       0x2BBA2E        Zlib compressed data, best compression
2865831       0x2BBAA7        Zlib compressed data, best compression
2865959       0x2BBB27        Zlib compressed data, best compression
2866062       0x2BBB8E        Zlib compressed data, best compression
2866187       0x2BBC0B        Zlib compressed data, best compression
2866284       0x2BBC6C        Zlib compressed data, best compression
2866344       0x2BBCA8        Zlib compressed data, best compression
2866448       0x2BBD10        Zlib compressed data, best compression
2866501       0x2BBD45        Zlib compressed data, best compression
2866600       0x2BBDA8        Zlib compressed data, best compression
2866632       0x2BBDC8        Zlib compressed data, best compression
2866664       0x2BBDE8        Zlib compressed data, best compression
2866692       0x2BBE04        Zlib compressed data, best compression
2866721       0x2BBE21        Zlib compressed data, best compression
2866838       0x2BBE96        Zlib compressed data, best compression
2866931       0x2BBEF3        Zlib compressed data, best compression
2867043       0x2BBF63        Zlib compressed data, best compression
2867131       0x2BBFBB        Zlib compressed data, best compression
2867236       0x2BC024        Zlib compressed data, best compression
2867286       0x2BC056        Zlib compressed data, best compression
2867384       0x2BC0B8        Zlib compressed data, best compression
2867430       0x2BC0E6        Zlib compressed data, best compression
2867515       0x2BC13B        Zlib compressed data, best compression
2867584       0x2BC180        Zlib compressed data, best compression
2867664       0x2BC1D0        Zlib compressed data, best compression
